fname,old,label
B01_C01_0000.png,1.png,frog
B01_C01_0001.png,20.png,frog
B01_C01_0002.png,23.png,frog
B01_C01_0003.png,24.png,frog
B01_C01_0004.png,26.png,frog
B01_C01_0005.png,73.png,frog
B01_C01_0006.png,96.png,frog
B01_C01_0007.png,104.png,frog
B01_C01_0008.png,105.png,frog
B01_C01_0009.png,118.png,frog
B01_C01_0010.png,125.png,frog
B01_C01_0011.png,126.png,frog
B01_C01_0012.png,133.png,frog
B01_C01_0013.png,144.png,frog
B01_C01_0014.png,152.png,frog
B01_C01_0015.png,155.png,frog
B01_C01_0016.png,165.png,frog
B01_C01_0017.png,188.png,frog
B01_C01_0018.png,201.png,frog
B01_C01_0019.png,205.png,frog
B01_C01_0020.png,210.png,frog
B01_C01_0021.png,211.png,frog
B01_C01_0022.png,225.png,frog
B01_C01_0023.png,229.png,frog
B01_C01_0024.png,232.png,frog
B01_C01_0025.png,233.png,frog
B01_C01_0026.png,235.png,frog
B01_C01_0027.png,236.png,frog
B01_C01_0028.png,243.png,frog
B01_C01_0029.png,244.png,frog
B01_C01_0030.png,246.png,frog
B01_C01_0031.png,249.png,frog
B01_C01_0032.png,250.png,frog
B01_C01_0033.png,287.png,frog
B01_C01_0034.png,293.png,frog
B01_C01_0035.png,299.png,frog
B01_C01_0036.png,314.png,frog
B01_C01_0037.png,327.png,frog
B01_C01_0038.png,328.png,frog
B01_C01_0039.png,348.png,frog
B01_C01_0040.png,351.png,frog
B01_C01_0041.png,352.png,frog
B01_C01_0042.png,356.png,frog
B01_C01_0043.png,362.png,frog
B01_C01_0044.png,369.png,frog
B01_C01_0045.png,388.png,frog
B01_C01_0046.png,410.png,frog
B01_C01_0047.png,438.png,frog
B01_C01_0048.png,452.png,frog
B01_C01_0049.png,453.png,frog
B01_C01_0050.png,465.png,frog
B01_C01_0051.png,474.png,frog
B01_C01_0052.png,489.png,frog
B01_C01_0053.png,526.png,frog
B01_C01_0054.png,530.png,frog
B01_C01_0055.png,533.png,frog
B01_C01_0056.png,553.png,frog
B01_C01_0057.png,557.png,frog
B01_C01_0058.png,572.png,frog
B01_C01_0059.png,588.png,frog
B01_C01_0060.png,589.png,frog
B01_C01_0061.png,592.png,frog
B01_C01_0062.png,620.png,frog
B01_C01_0063.png,621.png,frog
B01_C01_0064.png,626.png,frog
B01_C01_0065.png,634.png,frog
B01_C01_0066.png,641.png,frog
B01_C01_0067.png,646.png,frog
B01_C01_0068.png,652.png,frog
B01_C01_0069.png,656.png,frog
B01_C01_0070.png,668.png,frog
B01_C01_0071.png,681.png,frog
B01_C01_0072.png,683.png,frog
B01_C01_0073.png,693.png,frog
B01_C01_0074.png,711.png,frog
B01_C01_0075.png,719.png,frog
B01_C01_0076.png,721.png,frog
B01_C01_0077.png,722.png,frog
B01_C01_0078.png,729.png,frog
B01_C01_0079.png,739.png,frog
B01_C01_0080.png,746.png,frog
B01_C01_0081.png,756.png,frog
B01_C01_0082.png,771.png,frog
B01_C01_0083.png,782.png,frog
B01_C01_0084.png,808.png,frog
B01_C01_0085.png,819.png,frog
B01_C01_0086.png,820.png,frog
B01_C01_0087.png,837.png,frog
B01_C01_0088.png,838.png,frog
B01_C01_0089.png,839.png,frog
B01_C01_0090.png,855.png,frog
B01_C01_0091.png,863.png,frog
B01_C01_0092.png,864.png,frog
B01_C01_0093.png,897.png,frog
B01_C01_0094.png,900.png,frog
B01_C01_0095.png,904.png,frog
B01_C01_0096.png,915.png,frog
B01_C01_0097.png,921.png,frog
B01_C01_0098.png,922.png,frog
B01_C01_0099.png,924.png,frog
B01_C01_0100.png,930.png,frog
B01_C01_0101.png,932.png,frog
B01_C01_0102.png,936.png,frog
B01_C01_0103.png,938.png,frog
B01_C01_0104.png,961.png,frog
B01_C01_0105.png,962.png,frog
B01_C01_0106.png,986.png,frog
B01_C01_0107.png,1014.png,frog
B01_C01_0108.png,1017.png,frog
B01_C01_0109.png,1018.png,frog
B01_C01_0110.png,1024.png,frog
B01_C01_0111.png,1028.png,frog
B01_C01_0112.png,1032.png,frog
B01_C01_0113.png,1036.png,frog
B01_C01_0114.png,1039.png,frog
B01_C01_0115.png,1048.png,frog
B01_C01_0116.png,1052.png,frog
B01_C01_0117.png,1054.png,frog
B01_C01_0118.png,1064.png,frog
B01_C01_0119.png,1086.png,frog
B01_C01_0120.png,1102.png,frog
B01_C01_0121.png,1127.png,frog
B01_C01_0122.png,1132.png,frog
B01_C01_0123.png,1133.png,frog
B01_C01_0124.png,1155.png,frog
B01_C01_0125.png,1156.png,frog
B01_C01_0126.png,1160.png,frog
B01_C01_0127.png,1162.png,frog
B01_C01_0128.png,1176.png,frog
B01_C01_0129.png,1177.png,frog
B01_C01_0130.png,1192.png,frog
B01_C01_0131.png,1193.png,frog
B01_C01_0132.png,1195.png,frog
B01_C01_0133.png,1211.png,frog
B01_C01_0134.png,1221.png,frog
B01_C01_0135.png,1223.png,frog
B01_C01_0136.png,1229.png,frog
B01_C01_0137.png,1238.png,frog
B01_C01_0138.png,1247.png,frog
B01_C01_0139.png,1249.png,frog
B01_C01_0140.png,1260.png,frog
B01_C01_0141.png,1318.png,frog
B01_C01_0142.png,1319.png,frog
B01_C01_0143.png,1328.png,frog
B01_C01_0144.png,1343.png,frog
B01_C01_0145.png,1361.png,frog
B01_C01_0146.png,1363.png,frog
B01_C01_0147.png,1368.png,frog
B01_C01_0148.png,1372.png,frog
B01_C01_0149.png,1375.png,frog
B01_C01_0150.png,1394.png,frog
B01_C01_0151.png,1403.png,frog
B01_C01_0152.png,1404.png,frog
B01_C01_0153.png,1421.png,frog
B01_C01_0154.png,1437.png,frog
B01_C01_0155.png,1448.png,frog
B01_C01_0156.png,1454.png,frog
B01_C01_0157.png,1485.png,frog
B01_C01_0158.png,1486.png,frog
B01_C01_0159.png,1530.png,frog
B01_C01_0160.png,1532.png,frog
B01_C01_0161.png,1537.png,frog
B01_C01_0162.png,1538.png,frog
B01_C01_0163.png,1551.png,frog
B01_C01_0164.png,1553.png,frog
B01_C01_0165.png,1564.png,frog
B01_C01_0166.png,1580.png,frog
B01_C01_0167.png,1585.png,frog
B01_C01_0168.png,1586.png,frog
B01_C01_0169.png,1597.png,frog
B01_C01_0170.png,1614.png,frog
B01_C01_0171.png,1628.png,frog
B01_C01_0172.png,1629.png,frog
B01_C01_0173.png,1636.png,frog
B01_C01_0174.png,1638.png,frog
B01_C01_0175.png,1643.png,frog
B01_C01_0176.png,1647.png,frog
B01_C01_0177.png,1679.png,frog
B01_C01_0178.png,1688.png,frog
B01_C01_0179.png,1691.png,frog
B01_C01_0180.png,1723.png,frog
B01_C01_0181.png,1731.png,frog
B01_C01_0182.png,1734.png,frog
B01_C01_0183.png,1742.png,frog
B01_C01_0184.png,1744.png,frog
B01_C01_0185.png,1761.png,frog
B01_C01_0186.png,1762.png,frog
B01_C01_0187.png,1767.png,frog
B01_C01_0188.png,1803.png,frog
B01_C01_0189.png,1808.png,frog
B01_C01_0190.png,1810.png,frog
B01_C01_0191.png,1820.png,frog
B01_C01_0192.png,1837.png,frog
B01_C01_0193.png,1838.png,frog
B01_C01_0194.png,1843.png,frog
B01_C01_0195.png,1875.png,frog
B01_C01_0196.png,1877.png,frog
B01_C01_0197.png,1918.png,frog
B01_C01_0198.png,1934.png,frog
B01_C01_0199.png,1945.png,frog
B01_C01_0200.png,1949.png,frog
B01_C01_0201.png,1956.png,frog
B01_C01_0202.png,1957.png,frog
B01_C01_0203.png,1960.png,frog
B01_C01_0204.png,1979.png,frog
B01_C01_0205.png,1983.png,frog
B01_C01_0206.png,1990.png,frog
B01_C01_0207.png,2020.png,frog
B01_C01_0208.png,2041.png,frog
B01_C01_0209.png,2044.png,frog
B01_C01_0210.png,2051.png,frog
B01_C01_0211.png,2100.png,frog
B01_C01_0212.png,2101.png,frog
B01_C01_0213.png,2112.png,frog
B01_C01_0214.png,2113.png,frog
B01_C01_0215.png,2116.png,frog
B01_C01_0216.png,2125.png,frog
B01_C01_0217.png,2135.png,frog
B01_C01_0218.png,2147.png,frog
B01_C01_0219.png,2151.png,frog
B01_C01_0220.png,2153.png,frog
B01_C01_0221.png,2160.png,frog
B01_C01_0222.png,2180.png,frog
B01_C01_0223.png,2204.png,frog
B01_C01_0224.png,2223.png,frog
B01_C01_0225.png,2227.png,frog
B01_C01_0226.png,2240.png,frog
B01_C01_0227.png,2242.png,frog
B01_C01_0228.png,2253.png,frog
B01_C01_0229.png,2268.png,frog
B01_C01_0230.png,2275.png,frog
B01_C01_0231.png,2277.png,frog
B01_C01_0232.png,2289.png,frog
B01_C01_0233.png,2296.png,frog
B01_C01_0234.png,2297.png,frog
B01_C01_0235.png,2300.png,frog
B01_C01_0236.png,2311.png,frog
B01_C01_0237.png,2337.png,frog
B01_C01_0238.png,2357.png,frog
B01_C01_0239.png,2365.png,frog
B01_C01_0240.png,2370.png,frog
B01_C01_0241.png,2401.png,frog
B01_C01_0242.png,2408.png,frog
B01_C01_0243.png,2410.png,frog
B01_C01_0244.png,2412.png,frog
B01_C01_0245.png,2425.png,frog
