2017-11-27 16:13:17.394991: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.1 instructions, but these are available on your machine and could speed up CPU computations.
2017-11-27 16:13:17.395038: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.2 instructions, but these are available on your machine and could speed up CPU computations.
2017-11-27 16:13:17.395043: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX instructions, but these are available on your machine and could speed up CPU computations.
2017-11-27 16:13:17.395046: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX2 instructions, but these are available on your machine and could speed up CPU computations.
2017-11-27 16:13:17.395049: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use FMA instructions, but these are available on your machine and could speed up CPU computations.
['B01']
['B03']
['B02']
Loading images  ./ourds/*.jpg ['B01']
Number of images: 61
Number of rows: 256
Number of cols: 256
Dataset array size:  (61, 256, 256, 1)
Loading images  ./ourds/*.jpg ['B03']
Number of images: 60
Number of rows: 256
Number of cols: 256
Dataset array size:  (60, 256, 256, 1)
Loading images  ./ourds/*.jpg ['B02']
Number of images: 66
Number of rows: 256
Number of cols: 256
Dataset array size:  (66, 256, 256, 1)
(61, 256, 256, 1)
(60, 256, 256, 1)
(66, 256, 256, 1)



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |    45595.6016 | Layer 1 | Epoch 1  |
|            30 |    45406.2305 | Layer 1 | Epoch 1  |
|            60 |    45393.3672 | Layer 1 | Epoch 1  |
|            90 |    45391.4453 | Layer 1 | Epoch 2  |
|           120 |    45378.5625 | Layer 1 | Epoch 2  |
|           150 |    45373.7695 | Layer 1 | Epoch 3  |
|           180 |    45366.4023 | Layer 1 | Epoch 3  |
|           210 |    45329.0312 | Layer 1 | Epoch 4  |
|           240 |    45316.1562 | Layer 1 | Epoch 4  |
|           270 |    45299.0234 | Layer 1 | Epoch 5  |
|           300 |    45329.7578 | Layer 1 | Epoch 5  |
|           330 |    45251.7695 | Layer 1 | Epoch 6  |
|           360 |    45188.3477 | Layer 1 | Epoch 6  |
|           390 |    45256.2812 | Layer 1 | Epoch 7  |
|           420 |    45203.6055 | Layer 1 | Epoch 7  |
|           450 |    45102.0391 | Layer 1 | Epoch 8  |
|           480 |    45083.9414 | Layer 1 | Epoch 8  |
|           510 |    45002.2344 | Layer 1 | Epoch 9  |
|           540 |    44995.2500 | Layer 1 | Epoch 9  |
|           570 |    44897.4141 | Layer 1 | Epoch 10  |
|           600 |    44717.1836 | Layer 1 | Epoch 10  |
|           630 |    44877.4102 | Layer 1 | Epoch 11  |
|           660 |    44900.3203 | Layer 1 | Epoch 11  |
|           690 |    44892.0117 | Layer 1 | Epoch 12  |
