2017-11-27 10:11:29.405452: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.1 instructions, but these are available on your machine and could speed up CPU computations.
2017-11-27 10:11:29.405472: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.2 instructions, but these are available on your machine and could speed up CPU computations.
2017-11-27 10:11:29.405476: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX instructions, but these are available on your machine and could speed up CPU computations.
2017-11-27 10:11:29.405479: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX2 instructions, but these are available on your machine and could speed up CPU computations.
2017-11-27 10:11:29.405483: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use FMA instructions, but these are available on your machine and could speed up CPU computations.
['B01']
['B03']
['B02']
Loading images  ./ourds/*.jpg ['B01']
Number of images: 61
Number of rows: 256
Number of cols: 256
Dataset array size:  (61, 256, 256, 1)
Loading images  ./ourds/*.jpg ['B03']
Number of images: 60
Number of rows: 256
Number of cols: 256
Dataset array size:  (60, 256, 256, 1)
Loading images  ./ourds/*.jpg ['B02']
Number of images: 66
Number of rows: 256
Number of cols: 256
Dataset array size:  (66, 256, 256, 1)
(61, 256, 256, 1)
(60, 256, 256, 1)
(66, 256, 256, 1)



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |    45618.1016 | Layer 1 | Epoch 1  |
|            30 |    45134.9570 | Layer 1 | Epoch 1  |
|            60 |    44823.4414 | Layer 1 | Epoch 1  |
|            90 |    44901.8516 | Layer 1 | Epoch 2  |
|           120 |    44188.7227 | Layer 1 | Epoch 2  |
|           150 |    43848.3320 | Layer 1 | Epoch 3  |
|           180 |    43452.5742 | Layer 1 | Epoch 3  |
|           210 |    43170.2305 | Layer 1 | Epoch 4  |
|           240 |    43650.0391 | Layer 1 | Epoch 4  |
|           270 |    42896.8438 | Layer 1 | Epoch 5  |
|           300 |    43690.9375 | Layer 1 | Epoch 5  |
|           330 |    43558.6562 | Layer 1 | Epoch 6  |
|           360 |    42593.5195 | Layer 1 | Epoch 6  |
|           390 |    42306.9844 | Layer 1 | Epoch 7  |
|           420 |    42157.8750 | Layer 1 | Epoch 7  |
|           450 |    43513.7266 | Layer 1 | Epoch 8  |
|           480 |    41936.6875 | Layer 1 | Epoch 8  |
|           510 |    43459.6250 | Layer 1 | Epoch 9  |
|           540 |    41719.8242 | Layer 1 | Epoch 9  |
|           570 |    42218.2734 | Layer 1 | Epoch 10  |
|           600 |    44411.1641 | Layer 1 | Epoch 10  |
|           630 |    41292.7617 | Layer 1 | Epoch 11  |
|           660 |    42519.6016 | Layer 1 | Epoch 11  |
|           690 |    41777.3555 | Layer 1 | Epoch 12  |
