2017-11-27 14:42:43.493769: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.1 instructions, but these are available on your machine and could speed up CPU computations.
2017-11-27 14:42:43.493787: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.2 instructions, but these are available on your machine and could speed up CPU computations.
2017-11-27 14:42:43.493793: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX instructions, but these are available on your machine and could speed up CPU computations.
2017-11-27 14:42:43.493798: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX2 instructions, but these are available on your machine and could speed up CPU computations.
2017-11-27 14:42:43.493802: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use FMA instructions, but these are available on your machine and could speed up CPU computations.
['B01']
['B03']
['B02']
Loading images  ./ourds/*.jpg ['B01']
Number of images: 61
Number of rows: 256
Number of cols: 256
Dataset array size:  (61, 256, 256, 1)
Loading images  ./ourds/*.jpg ['B03']
Number of images: 60
Number of rows: 256
Number of cols: 256
Dataset array size:  (60, 256, 256, 1)
Loading images  ./ourds/*.jpg ['B02']
Number of images: 66
Number of rows: 256
Number of cols: 256
Dataset array size:  (66, 256, 256, 1)
(61, 256, 256, 1)
(60, 256, 256, 1)
(66, 256, 256, 1)



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |    45582.8516 | Layer 1 | Epoch 1  |
|            30 |    43386.5938 | Layer 1 | Epoch 1  |
|            60 |    43838.1523 | Layer 1 | Epoch 1  |
|            90 |    41806.0000 | Layer 1 | Epoch 2  |
|           120 |    44282.7695 | Layer 1 | Epoch 2  |
|           150 |    43042.2383 | Layer 1 | Epoch 3  |
|           180 |    44772.3984 | Layer 1 | Epoch 3  |
|           210 |    43372.4414 | Layer 1 | Epoch 4  |
|           240 |    43311.2070 | Layer 1 | Epoch 4  |
|           270 |    43169.7891 | Layer 1 | Epoch 5  |
|           300 |    44129.3125 | Layer 1 | Epoch 5  |
|           330 |    43023.5547 | Layer 1 | Epoch 6  |
|           360 |    44938.6797 | Layer 1 | Epoch 6  |
|           390 |    43971.2266 | Layer 1 | Epoch 7  |
|           420 |    42773.9570 | Layer 1 | Epoch 7  |
|           450 |    42997.7422 | Layer 1 | Epoch 8  |
|           480 |    44499.0586 | Layer 1 | Epoch 8  |
|           510 |    43715.0938 | Layer 1 | Epoch 9  |
|           540 |    42861.9219 | Layer 1 | Epoch 9  |
|           570 |    43143.4453 | Layer 1 | Epoch 10  |
|           600 |    44243.0742 | Layer 1 | Epoch 10  |
|           630 |    44604.5000 | Layer 1 | Epoch 11  |
|           660 |    44122.8984 | Layer 1 | Epoch 11  |
|           690 |    44733.5273 | Layer 1 | Epoch 12  |
|           720 |    44965.2188 | Layer 1 | Epoch 12  |
|           750 |    43650.5820 | Layer 1 | Epoch 13  |
|           780 |    43988.0391 | Layer 1 | Epoch 13  |
|           810 |    44587.2266 | Layer 1 | Epoch 14  |
|           840 |    43516.2227 | Layer 1 | Epoch 14  |
|           870 |    43969.4688 | Layer 1 | Epoch 15  |
|           900 |    44205.3359 | Layer 1 | Epoch 15  |
|           930 |    44145.7930 | Layer 1 | Epoch 16  |
|           960 |    44184.5117 | Layer 1 | Epoch 16  |
|           990 |    43252.5234 | Layer 1 | Epoch 17  |
|          1020 |    43943.2734 | Layer 1 | Epoch 17  |
|          1050 |    43540.3359 | Layer 1 | Epoch 18  |
|          1080 |    43624.4961 | Layer 1 | Epoch 18  |
|          1110 |    43387.7188 | Layer 1 | Epoch 19  |
|          1140 |    42424.0312 | Layer 1 | Epoch 19  |
|          1170 |    45391.7031 | Layer 1 | Epoch 20  |
|          1200 |    44804.1484 | Layer 1 | Epoch 20  |
|          1230 |    43504.2344 | Layer 1 | Epoch 21  |
|          1260 |    43283.5117 | Layer 1 | Epoch 21  |
|          1290 |    43902.0234 | Layer 1 | Epoch 22  |
|          1320 |    43808.1016 | Layer 1 | Epoch 22  |
|          1350 |    43280.4258 | Layer 1 | Epoch 23  |
|          1380 |    42955.7891 | Layer 1 | Epoch 23  |
|          1410 |    42767.3008 | Layer 1 | Epoch 24  |
|          1440 |    43376.5859 | Layer 1 | Epoch 24  |
|          1470 |    43305.6562 | Layer 1 | Epoch 25  |
|          1500 |    42944.0703 | Layer 1 | Epoch 25  |
|          1530 |    42325.9492 | Layer 1 | Epoch 26  |
|          1560 |    42529.4883 | Layer 1 | Epoch 26  |
|          1590 |    43713.7070 | Layer 1 | Epoch 27  |
|          1620 |    43610.3320 | Layer 1 | Epoch 27  |
|          1650 |    45003.3945 | Layer 1 | Epoch 28  |
|          1680 |    43803.6367 | Layer 1 | Epoch 28  |
|          1710 |    44604.4922 | Layer 1 | Epoch 29  |
|          1740 |    43023.9727 | Layer 1 | Epoch 29  |
|          1770 |    44793.6953 | Layer 1 | Epoch 30  |
|          1800 |    42529.0547 | Layer 1 | Epoch 30  |
|          1830 |    44628.3242 | Layer 1 | Epoch 31  |
|          1860 |    44501.5078 | Layer 1 | Epoch 31  |
|          1890 |    44077.5078 | Layer 1 | Epoch 31  |
|          1920 |    43404.1094 | Layer 1 | Epoch 32  |
|          1950 |    44006.4375 | Layer 1 | Epoch 32  |
|          1980 |    44192.3516 | Layer 1 | Epoch 33  |
|          2010 |    44970.0508 | Layer 1 | Epoch 33  |
|          2040 |    44767.6953 | Layer 1 | Epoch 34  |
|          2070 |    42185.3516 | Layer 1 | Epoch 34  |
|          2100 |    43911.2734 | Layer 1 | Epoch 35  |
|          2130 |    43491.9180 | Layer 1 | Epoch 35  |
|          2160 |    44026.7266 | Layer 1 | Epoch 36  |
|          2190 |    42903.6914 | Layer 1 | Epoch 36  |
|          2220 |    43691.8438 | Layer 1 | Epoch 37  |
|          2250 |    43258.7109 | Layer 1 | Epoch 37  |
|          2280 |    41810.3047 | Layer 1 | Epoch 38  |
|          2310 |    42937.5078 | Layer 1 | Epoch 38  |
|          2340 |    44012.2227 | Layer 1 | Epoch 39  |
|          2370 |    42091.9766 | Layer 1 | Epoch 39  |
|          2400 |    44303.9805 | Layer 1 | Epoch 40  |
|          2430 |    44412.6641 | Layer 1 | Epoch 40  |
