2017-11-20 12:10:43.159153: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.1 instructions, but these are available on your machine and could speed up CPU computations.
2017-11-20 12:10:43.159172: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.2 instructions, but these are available on your machine and could speed up CPU computations.
2017-11-20 12:10:43.159177: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX instructions, but these are available on your machine and could speed up CPU computations.
2017-11-20 12:10:43.159180: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX2 instructions, but these are available on your machine and could speed up CPU computations.
2017-11-20 12:10:43.159183: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use FMA instructions, but these are available on your machine and could speed up CPU computations.
['B01']
['B03']
['B02']
Loading images  ./ourds/*.jpg ['B01']
Number of images: 61
Number of rows: 256
Number of cols: 256
Dataset array size:  (61, 256, 256, 1)
Loading images  ./ourds/*.jpg ['B03']
Number of images: 60
Number of rows: 256
Number of cols: 256
Dataset array size:  (60, 256, 256, 1)
Loading images  ./ourds/*.jpg ['B02']
Number of images: 66
Number of rows: 256
Number of cols: 256
Dataset array size:  (66, 256, 256, 1)
(61, 256, 256, 1)
(60, 256, 256, 1)
(66, 256, 256, 1)



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |    45782.4805 | Layer 1 | Epoch 1  |
|            30 |    45405.8047 | Layer 1 | Epoch 1  |
|            60 |    45375.6016 | Layer 1 | Epoch 1  |
|            90 |    45361.5547 | Layer 1 | Epoch 2  |
|           120 |    45335.3125 | Layer 1 | Epoch 2  |
|           150 |    45320.2734 | Layer 1 | Epoch 3  |
|           180 |    45282.5781 | Layer 1 | Epoch 3  |
|           210 |    45288.3203 | Layer 1 | Epoch 4  |
|           240 |    45134.5547 | Layer 1 | Epoch 4  |
|           270 |    45028.4609 | Layer 1 | Epoch 5  |
|           300 |    45002.0391 | Layer 1 | Epoch 5  |
|           330 |    45089.9609 | Layer 1 | Epoch 6  |
|           360 |    45203.1680 | Layer 1 | Epoch 6  |
|           390 |    44956.1367 | Layer 1 | Epoch 7  |
|           420 |    45093.5547 | Layer 1 | Epoch 7  |
|           450 |    44884.1992 | Layer 1 | Epoch 8  |
|           480 |    44501.6602 | Layer 1 | Epoch 8  |
|           510 |    44677.4102 | Layer 1 | Epoch 9  |
|           540 |    44475.0195 | Layer 1 | Epoch 9  |
|           570 |    44365.4062 | Layer 1 | Epoch 10  |
|           600 |    44637.9141 | Layer 1 | Epoch 10  |
|           630 |    44625.5664 | Layer 1 | Epoch 11  |
|           660 |    44256.2695 | Layer 1 | Epoch 11  |
|           690 |    44223.0742 | Layer 1 | Epoch 12  |
|           720 |    44187.9453 | Layer 1 | Epoch 12  |
|           750 |    43617.8359 | Layer 1 | Epoch 13  |
|           780 |    44062.2227 | Layer 1 | Epoch 13  |
|           810 |    44287.2422 | Layer 1 | Epoch 14  |
|           840 |    44557.0430 | Layer 1 | Epoch 14  |
|           870 |    44252.0391 | Layer 1 | Epoch 15  |
|           900 |    44385.3008 | Layer 1 | Epoch 15  |
|           930 |    42842.7852 | Layer 1 | Epoch 16  |
|           960 |    43508.3359 | Layer 1 | Epoch 16  |
|           990 |    44032.4062 | Layer 1 | Epoch 17  |
|          1020 |    43375.7539 | Layer 1 | Epoch 17  |
|          1050 |    44355.5742 | Layer 1 | Epoch 18  |
|          1080 |    43779.6016 | Layer 1 | Epoch 18  |
|          1110 |    43647.4375 | Layer 1 | Epoch 19  |
|          1140 |    43189.1641 | Layer 1 | Epoch 19  |
|          1170 |    43202.8516 | Layer 1 | Epoch 20  |
|          1200 |    42871.4531 | Layer 1 | Epoch 20  |
|          1230 |    43183.8633 | Layer 1 | Epoch 21  |
|          1260 |    43931.3984 | Layer 1 | Epoch 21  |
|          1290 |    43653.3047 | Layer 1 | Epoch 22  |
|          1320 |    42970.6758 | Layer 1 | Epoch 22  |
|          1350 |    43418.8047 | Layer 1 | Epoch 23  |
|          1380 |    43682.1445 | Layer 1 | Epoch 23  |
|          1410 |    42981.5898 | Layer 1 | Epoch 24  |
|          1440 |    43056.7305 | Layer 1 | Epoch 24  |
|          1470 |    43249.8828 | Layer 1 | Epoch 25  |
|          1500 |    43490.2695 | Layer 1 | Epoch 25  |
|          1530 |    43094.3750 | Layer 1 | Epoch 26  |
|          1560 |    43394.9609 | Layer 1 | Epoch 26  |
|          1590 |    42844.5352 | Layer 1 | Epoch 27  |
|          1620 |    43441.6055 | Layer 1 | Epoch 27  |
|          1650 |    43114.9180 | Layer 1 | Epoch 28  |
|          1680 |    41401.7070 | Layer 1 | Epoch 28  |
|          1710 |    44005.3555 | Layer 1 | Epoch 29  |
|          1740 |    41873.1836 | Layer 1 | Epoch 29  |
|          1770 |    42602.1289 | Layer 1 | Epoch 30  |
|          1800 |    42778.9102 | Layer 1 | Epoch 30  |
|          1830 |    42251.9453 | Layer 1 | Epoch 31  |
|          1860 |    43145.4414 | Layer 1 | Epoch 31  |
|          1890 |    43669.2109 | Layer 1 | Epoch 31  |
|          1920 |    43132.0977 | Layer 1 | Epoch 32  |
|          1950 |    42129.0000 | Layer 1 | Epoch 32  |
|          1980 |    41042.5000 | Layer 1 | Epoch 33  |
|          2010 |    42140.4492 | Layer 1 | Epoch 33  |
|          2040 |    43646.5391 | Layer 1 | Epoch 34  |
|          2070 |    43388.6562 | Layer 1 | Epoch 34  |
|          2100 |    43344.9141 | Layer 1 | Epoch 35  |
|          2130 |    41803.5117 | Layer 1 | Epoch 35  |
|          2160 |    42756.8672 | Layer 1 | Epoch 36  |
|          2190 |    43310.0391 | Layer 1 | Epoch 36  |
|          2220 |    43119.6484 | Layer 1 | Epoch 37  |
|          2250 |    43505.6523 | Layer 1 | Epoch 37  |
|          2280 |    42590.3867 | Layer 1 | Epoch 38  |
|          2310 |    42758.7344 | Layer 1 | Epoch 38  |
|          2340 |    41310.2305 | Layer 1 | Epoch 39  |
|          2370 |    41125.5938 | Layer 1 | Epoch 39  |
|          2400 |    43346.7695 | Layer 1 | Epoch 40  |
|          2430 |    41737.0117 | Layer 1 | Epoch 40  |
|          2460 |    41327.4570 | Layer 1 | Epoch 41  |
