2017-10-31 14:23:45.073646: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.1 instructions, but these are available on your machine and could speed up CPU computations.
2017-10-31 14:23:45.073684: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.2 instructions, but these are available on your machine and could speed up CPU computations.
2017-10-31 14:23:45.073691: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX instructions, but these are available on your machine and could speed up CPU computations.
['B01', 'B02', 'B03']
['B04']
['B05']
Loading images  ./cifar10/*.png ['B01', 'B02', 'B03']
Number of images: 30000
Number of rows: 32
Number of cols: 32
Dataset array size:  (30000, 32, 32, 1)
Loading images  ./cifar10/*.png ['B04']
Number of images: 10000
Number of rows: 32
Number of cols: 32
Dataset array size:  (10000, 32, 32, 1)
Loading images  ./cifar10/*.png ['B05']
Number of images: 10000
Number of rows: 32
Number of cols: 32
Dataset array size:  (10000, 32, 32, 1)
(30000, 32, 32, 1)
(10000, 32, 32, 1)
(10000, 32, 32, 1)



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |      814.6715 | Layer 1 | Epoch 1  |
|          2500 |      701.0637 | Layer 1 | Epoch 1  |
|          5000 |      699.5944 | Layer 1 | Epoch 1  |
|          7500 |      698.5427 | Layer 1 | Epoch 1  |
|         10000 |      695.6458 | Layer 1 | Epoch 1  |
|         12500 |      694.8066 | Layer 1 | Epoch 1  |
|         15000 |      691.1540 | Layer 1 | Epoch 1  |
|         17500 |      686.0679 | Layer 1 | Epoch 1  |
|         20000 |      685.5138 | Layer 1 | Epoch 1  |
|         22500 |      685.1519 | Layer 1 | Epoch 1  |
|         25000 |      683.6033 | Layer 1 | Epoch 1  |
|         27500 |      680.3446 | Layer 1 | Epoch 1  |
|         30000 |      676.2671 | Layer 1 | Epoch 2  |
|         32500 |      678.3297 | Layer 1 | Epoch 2  |
|         35000 |      677.1716 | Layer 1 | Epoch 2  |
|         37500 |      673.8755 | Layer 1 | Epoch 2  |
|         40000 |      678.9985 | Layer 1 | Epoch 2  |
|         42500 |      674.2445 | Layer 1 | Epoch 2  |
|         45000 |      674.1633 | Layer 1 | Epoch 2  |
|         47500 |      673.1385 | Layer 1 | Epoch 2  |
|         50000 |      672.2587 | Layer 1 | Epoch 2  |
|         52500 |      671.9352 | Layer 1 | Epoch 2  |
|         55000 |      672.3759 | Layer 1 | Epoch 2  |
|         57500 |      672.1898 | Layer 1 | Epoch 2  |
|         60000 |      669.3333 | Layer 1 | Epoch 3  |
|         62500 |      670.0714 | Layer 1 | Epoch 3  |
|         65000 |      670.7540 | Layer 1 | Epoch 3  |
|         67500 |      670.3293 | Layer 1 | Epoch 3  |
|         70000 |      666.4061 | Layer 1 | Epoch 3  |
|         72500 |      668.3832 | Layer 1 | Epoch 3  |
|         75000 |      667.1446 | Layer 1 | Epoch 3  |
|         77500 |      667.8932 | Layer 1 | Epoch 3  |
|         80000 |      665.3268 | Layer 1 | Epoch 3  |
|         82500 |      666.1324 | Layer 1 | Epoch 3  |
|         85000 |      664.1833 | Layer 1 | Epoch 3  |
|         87500 |      667.6845 | Layer 1 | Epoch 3  |
|         90000 |      666.3159 | Layer 1 | Epoch 4  |
|         92500 |      663.1082 | Layer 1 | Epoch 4  |
|         95000 |      664.2385 | Layer 1 | Epoch 4  |
|         97500 |      664.2454 | Layer 1 | Epoch 4  |
|        100000 |      663.6016 | Layer 1 | Epoch 4  |
