2017-11-04 20:42:12.182256: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.1 instructions, but these are available on your machine and could speed up CPU computations.
2017-11-04 20:42:12.182292: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.2 instructions, but these are available on your machine and could speed up CPU computations.
2017-11-04 20:42:12.182300: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX instructions, but these are available on your machine and could speed up CPU computations.
['B01', 'B02', 'B03', 'B04', 'B05']
[]
[]
Loading images  ./cifar10/*.png ['B01', 'B02', 'B03', 'B04', 'B05']
Number of images: 50000
Number of rows: 32
Number of cols: 32
Dataset array size:  (50000, 32, 32, 1)
(25000, 32, 32, 1)
(12500, 32, 32, 1)
(12500, 32, 32, 1)



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |      833.2549 | Layer 1 | Epoch 1  |
|         25000 |      683.0252 | Layer 1 | Epoch 2  |
|         50000 |      674.4199 | Layer 1 | Epoch 3  |
|         75000 |      666.7804 | Layer 1 | Epoch 4  |
|        100000 |      664.5319 | Layer 1 | Epoch 5  |
|        125000 |      663.0249 | Layer 1 | Epoch 6  |
|        150000 |      659.4731 | Layer 1 | Epoch 7  |
|        175000 |      656.3398 | Layer 1 | Epoch 8  |
|        200000 |      653.1713 | Layer 1 | Epoch 9  |
|        225000 |      652.1073 | Layer 1 | Epoch 10  |
|        250000 |      654.9481 | Layer 1 | Epoch 11  |
|        275000 |      649.6862 | Layer 1 | Epoch 12  |
|        300000 |      650.2219 | Layer 1 | Epoch 13  |
|        325000 |      647.3446 | Layer 1 | Epoch 14  |
|        350000 |      653.4360 | Layer 1 | Epoch 15  |
|        375000 |      648.9363 | Layer 1 | Epoch 16  |
|        400000 |      648.0073 | Layer 1 | Epoch 17  |
|        425000 |      649.1094 | Layer 1 | Epoch 18  |
|        450000 |      647.2823 | Layer 1 | Epoch 19  |
|        475000 |      644.0837 | Layer 1 | Epoch 20  |
|        500000 |      647.1939 | Layer 1 | Epoch 21  |
|        525000 |      640.3550 | Layer 1 | Epoch 22  |
|        550000 |      643.8673 | Layer 1 | Epoch 23  |
|        575000 |      643.6342 | Layer 1 | Epoch 24  |
|        600000 |      642.5348 | Layer 1 | Epoch 25  |
|        625000 |      645.8575 | Layer 1 | Epoch 26  |
|        650000 |      641.3515 | Layer 1 | Epoch 27  |
|        675000 |      640.5234 | Layer 1 | Epoch 28  |
|        700000 |      638.8441 | Layer 1 | Epoch 29  |
|        725000 |      639.5264 | Layer 1 | Epoch 30  |
|        750000 |      643.2954 | Layer 1 | Epoch 31  |
|        775000 |      644.4265 | Layer 1 | Epoch 32  |
|        800000 |      642.1995 | Layer 1 | Epoch 33  |
|        825000 |      640.8005 | Layer 1 | Epoch 34  |
|        850000 |      639.2852 | Layer 1 | Epoch 35  |
|        875000 |      637.9791 | Layer 1 | Epoch 36  |
|        900000 |      638.3144 | Layer 1 | Epoch 37  |
|        925000 |      639.4930 | Layer 1 | Epoch 38  |
|        950000 |      637.6058 | Layer 1 | Epoch 39  |
|        975000 |      640.4291 | Layer 1 | Epoch 40  |
|       1000000 |      635.8978 | Layer 1 | Epoch 41  |
|       1025000 |      638.0656 | Layer 1 | Epoch 42  |
|       1050000 |      633.4483 | Layer 1 | Epoch 43  |
|       1075000 |      636.0186 | Layer 1 | Epoch 44  |
|       1100000 |      633.6863 | Layer 1 | Epoch 45  |
|       1125000 |      632.3606 | Layer 1 | Epoch 46  |
|       1150000 |      632.5108 | Layer 1 | Epoch 47  |
|       1175000 |      631.8461 | Layer 1 | Epoch 48  |
|       1200000 |      627.0946 | Layer 1 | Epoch 49  |
|       1225000 |      639.3176 | Layer 1 | Epoch 50  |
|       1250000 |      633.1238 | Layer 1 | Epoch 51  |
|       1275000 |      630.7042 | Layer 1 | Epoch 52  |
|       1300000 |      632.7574 | Layer 1 | Epoch 53  |
|       1325000 |      634.2262 | Layer 1 | Epoch 54  |
|       1350000 |      633.2673 | Layer 1 | Epoch 55  |
|       1375000 |      629.7294 | Layer 1 | Epoch 56  |
|       1400000 |      627.3145 | Layer 1 | Epoch 57  |
|       1425000 |      625.6887 | Layer 1 | Epoch 58  |
|       1450000 |      629.9026 | Layer 1 | Epoch 59  |
|       1475000 |      623.8817 | Layer 1 | Epoch 60  |
|       1500000 |      630.6131 | Layer 1 | Epoch 61  |
|       1525000 |      622.7908 | Layer 1 | Epoch 62  |
|       1550000 |      627.5333 | Layer 1 | Epoch 63  |
|       1575000 |      629.3843 | Layer 1 | Epoch 64  |
|       1600000 |      629.9716 | Layer 1 | Epoch 65  |
|       1625000 |      627.8527 | Layer 1 | Epoch 66  |
|       1650000 |      624.9052 | Layer 1 | Epoch 67  |
|       1675000 |      624.4344 | Layer 1 | Epoch 68  |
|       1700000 |      623.5973 | Layer 1 | Epoch 69  |
|       1725000 |      621.0067 | Layer 1 | Epoch 70  |
|       1750000 |      623.3019 | Layer 1 | Epoch 71  |
|       1775000 |      625.5607 | Layer 1 | Epoch 72  |
|       1800000 |      628.5904 | Layer 1 | Epoch 73  |
|       1825000 |      619.7968 | Layer 1 | Epoch 74  |
|       1850000 |      617.9390 | Layer 1 | Epoch 75  |
|       1875000 |      617.4056 | Layer 1 | Epoch 76  |
|       1900000 |      618.9872 | Layer 1 | Epoch 77  |
|       1925000 |      619.0505 | Layer 1 | Epoch 78  |
|       1950000 |      618.1641 | Layer 1 | Epoch 79  |
|       1975000 |      615.6927 | Layer 1 | Epoch 80  |
