2017-10-31 11:21:25.785501: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.1 instructions, but these are available on your machine and could speed up CPU computations.
2017-10-31 11:21:25.785527: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.2 instructions, but these are available on your machine and could speed up CPU computations.
2017-10-31 11:21:25.785533: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX instructions, but these are available on your machine and could speed up CPU computations.
['B01', 'B02', 'B03']
['B04']
['B05']
Loading images  ./cifar10/*.png ['B01', 'B02', 'B03']
Number of images: 30000
Number of rows: 32
Number of cols: 32
Dataset array size:  (30000, 32, 32, 1)
Loading images  ./cifar10/*.png ['B04']
Number of images: 10000
Number of rows: 32
Number of cols: 32
Dataset array size:  (10000, 32, 32, 1)
Loading images  ./cifar10/*.png ['B05']
Number of images: 10000
Number of rows: 32
Number of cols: 32
Dataset array size:  (10000, 32, 32, 1)
(30000, 32, 32, 1)
(10000, 32, 32, 1)
(10000, 32, 32, 1)



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |      833.7293 | Layer 1 | Epoch 1  |
|          2500 |      701.1766 | Layer 1 | Epoch 1  |
|          5000 |      697.8478 | Layer 1 | Epoch 1  |
|          7500 |      695.2681 | Layer 1 | Epoch 1  |
|         10000 |      693.6074 | Layer 1 | Epoch 1  |
|         12500 |      689.7971 | Layer 1 | Epoch 1  |
|         15000 |      688.0724 | Layer 1 | Epoch 1  |
|         17500 |      686.0032 | Layer 1 | Epoch 1  |
|         20000 |      683.8170 | Layer 1 | Epoch 1  |
|         22500 |      682.1028 | Layer 1 | Epoch 1  |
|         25000 |      677.5311 | Layer 1 | Epoch 1  |
|         27500 |      674.7269 | Layer 1 | Epoch 1  |
|         30000 |      674.5331 | Layer 1 | Epoch 2  |
|         32500 |      671.7248 | Layer 1 | Epoch 2  |
|         35000 |      674.8676 | Layer 1 | Epoch 2  |
|         37500 |      673.9000 | Layer 1 | Epoch 2  |
|         40000 |      670.9922 | Layer 1 | Epoch 2  |
|         42500 |      671.4056 | Layer 1 | Epoch 2  |
|         45000 |      667.9374 | Layer 1 | Epoch 2  |
|         47500 |      669.5756 | Layer 1 | Epoch 2  |
|         50000 |      669.9450 | Layer 1 | Epoch 2  |
|         52500 |      667.5640 | Layer 1 | Epoch 2  |
|         55000 |      669.1140 | Layer 1 | Epoch 2  |
|         57500 |      667.2236 | Layer 1 | Epoch 2  |
|         60000 |      663.6426 | Layer 1 | Epoch 3  |
|         62500 |      665.3664 | Layer 1 | Epoch 3  |
|         65000 |      663.7104 | Layer 1 | Epoch 3  |
|         67500 |      664.4069 | Layer 1 | Epoch 3  |
|         70000 |      665.4628 | Layer 1 | Epoch 3  |
|         72500 |      662.6013 | Layer 1 | Epoch 3  |
|         75000 |      665.0009 | Layer 1 | Epoch 3  |
|         77500 |      660.0448 | Layer 1 | Epoch 3  |
|         80000 |      661.2191 | Layer 1 | Epoch 3  |
|         82500 |      663.0080 | Layer 1 | Epoch 3  |
|         85000 |      663.4423 | Layer 1 | Epoch 3  |
|         87500 |      664.2297 | Layer 1 | Epoch 3  |
|         90000 |      658.9601 | Layer 1 | Epoch 4  |
|         92500 |      657.6009 | Layer 1 | Epoch 4  |
|         95000 |      663.1475 | Layer 1 | Epoch 4  |
|         97500 |      660.3588 | Layer 1 | Epoch 4  |
|        100000 |      660.1030 | Layer 1 | Epoch 4  |
|        102500 |      658.7676 | Layer 1 | Epoch 4  |
|        105000 |      661.0334 | Layer 1 | Epoch 4  |
|        107500 |      658.1904 | Layer 1 | Epoch 4  |
|        110000 |      658.8990 | Layer 1 | Epoch 4  |
|        112500 |      658.6772 | Layer 1 | Epoch 4  |
|        115000 |      659.5931 | Layer 1 | Epoch 4  |
|        117500 |      658.6075 | Layer 1 | Epoch 4  |
|        120000 |      655.8430 | Layer 1 | Epoch 5  |
|        122500 |      656.4506 | Layer 1 | Epoch 5  |
|        125000 |      658.5260 | Layer 1 | Epoch 5  |
|        127500 |      658.5248 | Layer 1 | Epoch 5  |
|        130000 |      657.4977 | Layer 1 | Epoch 5  |
|        132500 |      656.5483 | Layer 1 | Epoch 5  |
|        135000 |      657.5485 | Layer 1 | Epoch 5  |
|        137500 |      658.7755 | Layer 1 | Epoch 5  |
|        140000 |      653.7733 | Layer 1 | Epoch 5  |
|        142500 |      655.6710 | Layer 1 | Epoch 5  |
|        145000 |      649.6369 | Layer 1 | Epoch 5  |
|        147500 |      654.0619 | Layer 1 | Epoch 5  |



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |      119.8337 | Layer 2 | Epoch 1  |
|          2500 |       72.8145 | Layer 2 | Epoch 1  |
|          5000 |       67.7915 | Layer 2 | Epoch 1  |
|          7500 |       65.3646 | Layer 2 | Epoch 1  |
